Username,Reviews
Skolastikaaaa,"Awal pake skincare aku pake natural republic, dimana ini membantu meredakan kemerahan di muka aku dan mengurangi kilang minyak di muka aku yg oily parah. Dan untuk harga gausah diragukan lagiii karena harga terjangkau cocok untuk aku"
tiara067,"aku pake ini dari aku kuliah sampe sekarang karena enak bgt sih jadi bisa dipake buat moisturizer atau kadi base makeup juga bisa pokonya multifungsi bgt,aku taro di kulkas supaya dingin setiap kali mau pake,recommended bgt sih buat dipake sehari2"
Olipejstn,Tekstur nya gel jadi ringan di kulit terus melembapkan parah. Aku pake di kulit kering langsung lembap banget. Ga lengket juga jadi nyaman dipakai. Biasanya pake tiap malem buat kulit kering. Bagus bgt udah repurchase 3 kali. Mantap pokoknya
elvinarmami,"Produk serba bisa, buat rambut bisa buat pelembab bisa jadi buat masker bilas juga bisa. Setelah pakai berasa soothing sih. Apalagi kalo lg cuaca panas auto adem banget. Saranku masukin kulkas biar enakeuuun sih pas di pakai. Bestttt sihhh"
Ivahamel,"Suka banget pake produk ini, melembabkan sekali buat kulit. menenangkan sekali. Cocok untuk kulit kering. Habis pakai muka kelihatan fresh cerah sekali. Adem. Rekomendasi banget pokoknya buat restok lagi. Yang kulitnya kering bisa nih dicoba"
Salsabila4240,"Nature Republic Aloe Vera 92% Soothing Gel telah menjadi produk ikonik dan primadona di dunia kecantikan, dan tidak sulit untuk memahami alasannya. Gel serbaguna ini menawarkan sensasi dingin yang instan saat diaplikasikan, sangat cocok untuk menenangkan kulit yang teriritasi atau kemerahan akibat paparan sinar matahari. Teksturnya yang ringan dan mudah meresap membuatnya nyaman digunakan tanpa meninggalkan rasa lengket, bahkan pada kulit berminyak."
AjengKisna,"Waw sangat Melembabkan bagus banget bisa untuk semua jenis kulit terutama kulit sensitif sangat aman sekali, nanti bakalan repurces lagi deh pastinya!!! Suka banget bakalan ngeracunin teman temanku juga, pokonya best best is the best!!!"
cindy_octora,Untuk yang punya kulit kering kaya aku ini ccok banget aku sering pake di bibir dan juga bagian tubuh yang kira kira lagi kering banget dan kebantu banget mana awet banget lagiii aku udah pake dari zaman sekolah sampe sekarang cocok banget pokonya
rayamadisky,"produjnya bagus cocok untuk segala jenis kulit melemba0kan wangi aloe vera, produknya besar, barangnya original, wanginya enak, barang yang dibeli di e commerce original dan bisa dipakai lama, pemakaian jangka panjang dan bagus, bikin kukit sehat"
ivnahbby,"produjnya bagus cocok untuk segala jenis kulit melemba0kan wangi aloe vera, produknya besar, barangnya original, wanginya enak, barang yang dibeli di e commerce original dan bisa dipakai lama, pemakaian jangka panjang dan bagus, bikin kukit sehat"
viantisenov,Aku pake aloevera kalo muka aku lagi sensitif kemerahan.. Karena emg ngefek banget ke kulit muka aku jadi ga meradang lagi .. Emang sebagus ini ya produk aloe vera .. Emg semantul dan sesuka itu aku sama produk ini.. Wajib banget stock sih ini mah dirumah
widyapnf,pernah viral pada masanya dan penasaran banget coba ini pas awal sma karena sebelumnya belum pernah pake moisturizer.. tapi ternyata kurang cocok di aku karena cukup makin memperparah jerawat sama bikin muka kering bangett (bukan ngelembapin) jadi berhenti di 1 bulan pemakaian soalnya takut makin rusak mukanya:(
kevinkurniady,"Produk ini sangat bagus, tidak membuat kulit kering, dan saya sering pakai untuk kegiatan sehari-hari. Kegiatan sehari hari saya di ruangan ber AC dan di jalan raya, sehingga saya aman. Pokoknya produk ini merupakan produk yang saya pakai"
d_agusttin,bagus bangettttt melembabkan super duperrrr pokonya buat ngatasin kulit kering ini ampuh banget siii dengan harga murah dan isi yang cukup banyak buat mahasiswa dengan budget ga besar ini worth it bangettttt keren udah dari smp pake ini!
verbena,Aloeveranya bagus banget kulit jadi moisturoze dan bagus ngelembabin suka sih soalnya bagus dan baik banget kaka2 disinu Aloeveranya bagus banget kulit jadi moisturoze dan bagus ngelembabin suka sih soalnya bagus dan baik banget kaka2 disinu
nanaysyfa,"Aloe Vera Gel dari Nature Republic ini teksturnya ringan, gampang meresap, dan bikin kulit jadi lebih lembap dan adem. Cocok buat calming kulit iritasi atau setelah panas-panasan. Multifungsi juga! Worth it bangett harus cobainnnnnnnn"
dzikra_hb,"Bagus banget, pokoknya wajib coba yaaaaCusss deh pada order yaaaaaYukkk yukk yuuukkkkð¥°ð¥°ð¥°ð¥°ð¥°Jaya terus yaaa female daily Sukses terusMakin jaya jaya jayaTerlove pokoknyaaaaSemoga makin banyak diskonnya yaaaaaa Loveeeeeeeeeeeeeee"
zeninez,"Produk ini sangat bagus banget, dulu pernah hype di masanya dan bikin kulit lembab. Produknya juga lama habisnya, jadi cocok untuk mahasiswa seperti saya! loveeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeweeeeeeeeeeeeeeeeee^^"
idznia,"Masih pake ini dong dari dulu sampe sekarang kenapa ? Karna bikin kulit moist lembab, ga kering, pokonya terhidrasi anti kering-kering dan anti kerak kerak ðð anti panas d wajah cocok buat yg sering motoran biar ga gosong juga ððð wajib repurches sih produk yg satu ini"
aleeja,aku suka bgt sih tekstur calming dari aloevera inið­ð­ kalo kepanasan mantep bgtt dipakenya jd lebih adem muka dan badan!! iâve been using this product for a loooooongg time!! dari aku SMP TAUUU tp this product is just timeless and effortlessly good!
Syh26,"Bagus bagus banget melembabkan kuoit yang kering menjadi lembab dan mengencangkan kulit, recommend banget. Keren sih harus beli buat kamu yang punya kulit kering dan ada kerutan halus bener2 menutrisi kulit kamu yang kering. Pokoknya best"
widyakholilah,bagus banget untuk melembapkan dan membuat kulit jdi makin sehat apalgi kalo lg breakout produk natrep ini cocok banget apalgi kalo kulitnya kering sangat rekomendid soalnya ini teksturnya cair jadi gampang menyerap dimuka dan membuat kulit jd glowing
novelachaterine,"Sudah beberapa minggu saya mencoba produk ini dan secara keseluruhan, pengalaman saya cukup memuaskan. Desainnya simpel namun elegan, mudah digunakan, dan cukup intuitif bahkan untuk pengguna baru. Dari segi kualitas, bahan yang digunakan terasa kokoh dan tahan lama, memberikan kesan bahwa produk ini memang dirancang untuk pemakaian jangka panjang.Fungsinya pun bekerja sesuai dengan yang dijanjikan. Tidak ada masalah besar yang saya temui selama penggunaan, walaupun ada beberapa hal kecil yang bisa diperbaiki, seperti respons yang sedikit lambat di awal pemakaian atau fitur tambahan yang terasa kurang maksimal.Yang paling saya suka adalah kenyamanan saat digunakan. Rasanya ringan, tidak merepotkan, dan cukup fleksibel untuk digunakan dalam berbagai situasi. Selain itu, instruksi penggunaannya juga cukup jelas dan mudah dipahami."
florean783,"Bagus sekali! Menyenangkan rasanya ketika semua berjalan sesuai rencana dan hasilnya memuaskan. Kesempurnaan ini menciptakan perasaan bahagia dan bangga, seakan usaha dan kerja keras yang telah dilakukan terbayar sudah. Ini adalah saat di mana keindahan dari pencapaian dan kesuksesan bisa dirasakan sepenuhnya."
syafitri28,Ini sangat membantu aku untuk merawat kulit kusam lohhh bagus banget laah sesuaii dengan sesuatuu sekalii deehhh bagus bangeyy rekomendasi bangettttt cocok untuk semua kulit wajah dehh ayoo di cobaa wajiibb harganyaa juga muraah meriaah muntah
Keiko,"Bagus sekali ketika semua orang mampu bekerja sama dalam mencapai tujuan bersama. Keberhasilan dalam setiap proyek atau aktivitas kolaboratif adalah hasil dari komunikasi yang efektif dan usaha yang konsisten. Selain itu, saling menghormati dan memberikan apresiasi kepada setiap kontribusi individu dapat membangun lingkungan kerja yang positif dan mendukung untuk semua pihak yang terlibat."
clarasyifan,"sangat menyegarkan banget, bikin wajah jd plumpy untuk wajah aku yang kering atau kena panas di luar ruangan, aku beli yang agak gede dan bener bener puas banget pake nya karena bisa dipake berbulan bulan sama aku dan keluarga hehehe puas deh intinya"
aldaang,"Teksurnya ga bikin lengket, mudah menyerap di kulit. Bagus banget dijadiin sleeping mask atau dipake sebelum penggunaan make up. Cocokdigunakan sehari-hari. Bagus untuk nenangin kulit yang berjerawat sangat disarankan bagi pengguna kulit berjerawat."
Shintiyac,Enak muka jadi lembab dingin sangat banget rekomendasi buat pemula cocok banget di pakai muka jadi lembab minyak terkontrol sangat sangat rekomendasi buat yang mau pake beli di diskon lumayan jadi murah heheheheheheeheheeeeeeeeeeeee
PutriisaA,Aloe vera ini tuh bagus banget sih the best karena cocok dikulit aku terus dingin wangi jugaa dan aku sering beli di online pokonya ini tuh produk yg sangat fav dan harus banget dibeli harus nyetok sih
annisarahma123,"Mantaap enakeun, cocok buat bruntus sama kulit kemerahan karna kebakar sinar matahari, mantull bgt produknya dingin jugaa pas di aplikasiin dan bikin kulit lembab. Cocok juga buat kulit kering. Recomended pol buat yg punya kulit bruntusan"
fairynishie,"ini bagu banget tauu bikin makeup jga jadi awet sehariann, bagus banget dijadiin base makeup deh inii sukaa, trus juga teksturnya bikin muka jdi adem gtuu dan cocok buat ilangin jerawat sihh soalnya di akuu mantull bgt ini bisa ilangin jerawat akuu"
081223383843,aku suka banget sama produk ini udah lama banget sejak aku sma pake banyak perubahan yang aku rasain saat aku pakai produk ini salah satunya itu bikin kulit lebih lembut lebih halus juga jujur aku suka banget sama produknya mantap sih the best
ditaaaput,"produk ini bagus bgt , bahannya adeeeeeemmm bgt nyaman dipakai.. suka bgt kalo but maskeran.. bikin cerah manis cantik. lembuuuuuuut bgt adem suka bgt sma barangnya, bestbseller jg dimana manaaaa.. bagus bgt baguuuuuuuuus bgt bgt bgt bgt"
Fahrian_24,baguss abiss brooo keren pisan asli suka banget karena lembut banget dan bagus banget sumpah gila bukan main anjir keres pisan pokonya mah ini produk bukan boong boong mantep bener waduh keren bangett gila gila duka banget sama ni produknyaa
Lina_Febrianti,"Sangat ringan diwajah sangat murah dikantong cara pengaplikasian pada wajah pun mudah tidak ada efek samping dari penggunaan produk sangattt rekomennn memiliki efekkk dingin di wajahhh, cocok untuk semua kulit wajah tidak memberikan efek samping"
Heidi_utami90,"Nature Republic: produk skincare yang bagus! Saya suka masker wajah dan pelembab mereka. Bahan alami, tidak menimbulkan iritasi. Hasilnya bagus, kulit wajah jadi lebih halus dan lembab. Harga terjangkau, kualitas oke. Cocok untuk kulit sensitif. Saya sangat puas dengan produk Nature Republic."
alifia08,"Pas kulit aku kemerahan, kering dan juga perih setiap pake produk apapun aku bingung pakai produk apa. Akhirnya aku nemuin aloevera gel ini karna ada efect calming for ur skin. Amaze banget sama hasil penggunaan selama 1 bulan aja kulit aku bukan hanya terhidrasi tapi jadi glowing"
Fitranr,"Awal mula mengenal skincare yaitu menggunakan aloevera dari nature republic ini, 1 produk untuk banyak kegunaan dan sebagus itu, bisa untuk moisturizer, masker juga, dan bikin kulit lembab dan lembut, packagingnya juga besar dan harga terjangkau"
Rifafdlh,"Gel Nature Republic memiliki tekstur ringan dan mudah diserap. Melembabkan dan menenangkan kulit, membuatnya terasa lembut. Aromanya segar dan tidak terlalu kuat. Cocok untuk kulit sensitif dan harga terjangkau. Saya puas dengan hasilnya!"
muthyaa10,"Gel ini benar-benar penyelamat kulitku! Teksturnya ringan, cepat menyerap, dan bikin kulit langsung terasa adem. Cocok banget buat kulit kering atau habis kena matahari. Plus, baunya segar dan nggak lengket. Multifungsi bangetâbisa buat wajah, rambut, bahkan tangan & kaki"
cindyytanjungg,"Menghidrasi kulit. Gelnya dingin bisa dipake buat ngecalming kemerahan di wajahâ¤ï¸ bisa dipake setiap hari buat jadi gelmask juga. Harganya juga lumayan murah. Bisa disimpen di kulkas. Nature Republic Aloe Vera Soothing Gel adalah gel multifungsi yang mengandung 92% ekstrak lidah buaya dari California. Produk ini diklaim mampu memberikan efek menenangkan, melembapkan, dan menyegarkan untuk berbagai bagian tubuh seperti wajah, tubuh, dan rambut.â Kelebihan:Tekstur Ringan & Cepat MeresapGel-nya bening, ringan, dan mudah meresap ke kulit tanpa rasa lengket. Cocok digunakan di cuaca panas atau setelah beraktivitas di luar ruangan.MultifungsiBisa digunakan sebagai pelembap wajah, masker tidur, after-sun care, base makeup, bahkan sebagai hair mask untuk rambut kering.Aroma SegarWanginya lembut dan menyegarkan, khas aloe vera alami tapi tidak terlalu menyengat.Menenangkan KulitSangat membantu untuk meredakan kemerahan, iritasi ringan, atau kulit yang terbakar matahari.Harga TerjangkauDengan isi 300 ml, produk ini cukup awet dan worth it untuk harga yang ditawarkan."
rifaldy,"Nature Republic Aloe Vera 92% Soothing Gel menurut aku salah satu produk skincare yang paling simpel tapi manfaatnya banyak banget. Awalnya aku coba karena banyak yang bilang bagus, eh ternyata emang beneran enak dipakai. Teksturnya gel bening dan dingin gitu pas kena kulit, apalagi kalau disimpan di kulkas duluâbisa bikin muka langsung adem pas lagi merah atau capek. Aku biasa pakai ini buat pelembap sehari-hari, kadang juga jadi masker tidur, bahkan pernah aku pakai di tangan dan kaki yang lagi kering banget. Wanginya juga seger, gak terlalu nyengat, jadi nyaman banget dipakai. Yang aku suka, dia cepet nyerap dan gak bikin lengket sama sekali. Di kulit aku yang kadang sensitif, dia bantu nenangin kalau lagi muncul kemerahan atau bruntusan ringan. Harganya juga menurutku terjangkau banget, bisa kepake lama dan gak boros. Tapi mungkin buat yang kulitnya super sensitif, mending patch test dulu karena ada sedikit kandungan alkohol. Tapi overall, ini gel aloe vera yang bisa dipakai siapa aja dan cocok banget buat yang cari produk multifungsi dan gampang dipakai sehari-hari tanpa ribet."
yuliani_apriliani,Produk ini sangat cocok untuk kulit aku yang cenderung sensitif apalagi suka gatal gatal atau beruntusan dulu kalo mau coba produk apapun suka takut tapi begitu nyoba produk ini ko enak banget yaa adem juga ke kulit ga bikin kering dan beruntusan
febrinarnm,"jujur dia tuh banyak banget kegunaannya selain bisa dijadiin moisturizer sebelum make up aku juga pake dia buat nge hydrating ketiak aku kalo abis waxing jadi ada kesan dinginnya gitu aku terbantu sih jujur, dan dia lumayan lama juga abisnya"
Lidyaastrii,"My go to tiap butuh gel yang soothing banget dan serbaguna. Rasanya untuk muka, kulit dll bisa semua. Apalagi paling enak kalau dipake ketika panas panasan, kulitnya perih. Dikasih ini jadi ademmmm. Hhaha. Isinya juga banyak jadi 1 jar itu bisa untuk gue pake 4 5 bulanan"
anantashas_,"sumpah ini kayak bagus sih lumayan melembabkan dan juga bikin wajah tuh kayak aduh moist banget nih kayaak kulit bayi AHAHAHAH, recommend banget sih ini wowwwowowowow pls beli yaa guys karena aloe vera gel ini bener bener bagus buat dry skin!"
Noouy,"bagus moisturizer nya dinginnnn colling sensation, bagus banget kalau buat kulit berjerawat menenangkan enak bangett deh pokoknya produk ini emang bagus buat acne rne skin dan setiap malam harus pake yaa dan bagussss bangett bagussssss"
yandiyulandi,"Aku sudah pakai produk ini selama beberapa minggu dan sejauh ini aku cukup puas dengan hasilnya. Gel-nya ringan, cepat meresap, dan punya efek menenangkan yang langsung terasa begitu diaplikasikan ke kulit. Produk melembab kulit dan membuat kulit menjadi lebih calm serta meredakan kemerahan"
Khansaizz,"multifungsi bangettt, bisa dipake seluruh tubuh, terutama bagian tubuh yang kering. lembabnya bikin nampol, ga usah diraguin lagi deh produk dari nature republik, pasti worth to buy, aku juga pernah pake buat redain luka bakar, mantap pokoknya"
marciaryani,"Aku pake ini dari aku kuliah sampe sekarang karena enak bgt sih jadi bisa dipake buat moisturizer atau jadi base makeup juga bisa pokonya multifungsi,aku taro di kulkas supaya dingin setiap kali mau dipake,recommended bgt sih buat dipake sehari2"
Nadyaysmna,"beli produk ini gara2 awalnya brand ambassadornua exo tapi lama kelamaan malah repurchase karena cocok di badan, pokonya recomend bangettt buat kalian mau coba ayooo di beli gaesss pemirsah heyooo karna bisa mengatasi kulit kering dan melekbaboan"
marsandaaa,"ini aloe vera pertama aku dan ternyata super duper bagusss. teksturnya gel bening adem bangett. aku pake buat pagi dan malam. buat pagi, aku pake sebagai base makeup dan ternyata bikin makeup aku nempel dan ga longsor, bagus banget pokonyaa!"
putryutty,"Cocok di kulit acne prone, feels nya no sumuk sumukk, ringann bgt di wajah acneprone akuu, teksturnya gel, ga micu jerawat tumbuhh super calming dingin kalo saat muka lagi merah merah, lagi breakout parah, bisa bangett dipake di semua badan"
alvirandputri,"tekstur aloevera kental, menyegarkan, moist banget hasilnya, mengurangi jerawat, menenangkan, cocok buat moisturizer, sleep mask, campuran masker, harga affordable. isinyaa banyak pwoll harga sesuai, produk aloevera tercakepp terbestt"
Amaliaerfiana,Melembabkan kulit wajah harum dan lembut aku udh pakai ini dari jaman smp terus selalu repurchase terus dan emang produknya sebagus itu untuk semua kulit wajah ya ini bisa buat kulit kering cocok banget buat aku adem dingin kewajah dan harum sekali
fawwazazzh,"Bagus bangettt multifungsi, buat after waxing bisa, buat moisturizer bisa, buat sunburnt juga membantu bangett, sekeluarga pake kemana2 karena emang bagus dan ga ganggu aromanya,, udah pake dari lama recomended semua harus cobaaa!!!"
raniyuniarti29,Pengalaman aku pake ini pas lagi viral banget ini bagus banget glowing bangettttttt parah sihhhh bikin muka jadi cerah bangettttt pokoknya kalian ga nyesel beli ini pokoknya the best bangetttt wajib sih beli dan cekout karena jerawat hilang
schatzy__18,"Â Nature Republic dikenal sebagai skincare untuk menghilangkan beruntusan  Nature Republic Aloe Vera 92% soothing gel,Â mampu melembapkan kulit wajah sekaligus menghilangkan bruntusan jika digunakan secara rutin"
andreasmaradhana,"Teksturnya kental seperti jel. Warnanya bening. Aromanya segar gitu. Bukan aroma gimana-gimana. Kata orang, kalau kulit sensitif sebaiknya pakai merel sebelah. Nyatanya, aku lebih cocok pakai ini. Kulit jadi lembab, nggak ketarik. Jadi menurutku yang namanya skincare memang cocok-cocokan, harus dicoba sendiri. Tiap kali coba yang lain selalu balik lagi ke sini."
Nurhasan03_,"Produk Aloe Vera yang aku suka :1. Gel-nya ringan, bening, dan cepat meresap. Pas pertama kali dipakai tuh rasanya dingin, adem banget di kulit. Aromanya khas aloe vera, segar tapi bisa agak strong buat yang sensitif sama wangi.2. gel ini enak banget buat jadi pelembap ringan. Tapi kalau kulit kamu kering banget, ini mungkin kurang ânendangâ kelembapannya harus dilayer sama pelembap lain. Di beberapa orang, bisa jadi agak tingling atau malah bikin bruntusan, jadi wajib patch test dulu ya.2. Murah meriah, isinya banyak, dan multifungsi. Cocok buat yang suka skincare on budget atau yang nyari produk serbaguna."
aaangria,"Fresh bangeet produknyaaaaa, pas awal pake kek dingin-dingin gituu nyegerin wajah terus ngak bikin kering kulit wajah bisa lembab teruuuuus pokoknyaaaaa wort it siiih buat yang kulitnyaaa kering dan untuk menjaga kelembaban kulit wajaah, wort ith untuk dicobaaaaa"
razitabtrsya,aku yang tipenya beli moist cuma buat ngelembabin kulittt lov bangett sama produk inii. karenaa selain packagingnya superr gentong bisa dapakee lamaa pluss jadiii hematt natrep ini jg ngehidrasi banget kulit aku yg awalnya keringg. kaloo kalian sama ky akuuu harus banget beli iniiii!!!
allsyif,produk ini enak banget d kulit bisa banget membantu melembabkan kulit wajah yg lagi kering .apalagi tipe kulit aq yg kombinasi .bisa d pakai d seluruh bagian kulit yg lg kering .membantu menenangkan kulit yg kemerahan .aq sich recomend banget produk ini
ayu_sugiarty10,"Aloe vera terbaik versi aku, aku pake dari dia awal masuk Indo banget, isinya banyak semakin kesini harga nya makin oke juga dgn isi yg banyakPaling sering di cari kalau kulit lagi break out, atau kena Luka, atau lagi kering butuh dihidrasi,"
AmeliaShakyAndara,"baguss banget buat melembabkan kulit wajah, jadi tidak kering dan kulit lebih halus, cocok untuk kulit sensitif dan berjerawat, rekomendasi karena harga nya sangat terjangkau ðð nature republic aloe vera bagus banget apalagi dipakai untuk daily ðð­"
diyaa7,"ihh enakeunn bgtt pake produk inii dinginn bisa buat mukaa, bibir, tangan, kadang buat alis wkwkwk, tesktur nya jg enakk nyerapp cair ga lengket ga kentel gtuu, ga abisabis lagii lama bgtt abisnyaað­ð­ pokonyaa recommended deh nih produk"
nitagarnita,Sangat membantu mengurangi kulit kering dan pecah diaplikasikan pada tangan kali serta muka juga lutut yang kering dipakai setiap hari menjadikan kulit lembut dan tanpak lembab serta menajdikan kulit halus senantiasa dapt dipakai oleh seluruh keluarga
Wafanisaaudry,"Kemasannya praktis dan travel-friendly, dengan desain khas Emina yang girly dan cheerful. Dengan harga yang cukup terjangkau, produk ini bisa dibilang sangat worth it untuk perlindungan harian dari paparan sinar matahari, terutama b"
I_You,"Udah banyak yang tau lah ya ini tuh memang bagusss manfaatnya banyakkk bangettt.... Buat yang kulitnya kering sensitif harus coba sih ini dipake jadi masker enak banget rasanya dingin seger gitu,, nenangin kulit pula..."
heydeenx,Sebagai orang dengan kulit kering aku bener bener rekomendasiin ini buat ngelembabin. Aku rutin pakai tiap malem sebelum moisturizer biar lebih mantap ke kulit. Dan aku udah restock beberapa kali saking cocoknya. Bisa buat rambut juga baru tau bikin rambut halus
Dwiratnasr,"bisa mengangjat kotorandengan baik, tidak bikinkulit kering dan tidak bikin jerawat, bisa dipakai sehari-hari karena ringan dan tidak bikin kulit jerawatan, ampuh mengangkat kotoran tetapi tidak bisa yg waterproof, harga juga terjangkau"
tiaraasya,"Bagus banget ngebantu perawatan kulit, bantu bikin lembab kulit. Kulit ngelupas langsung aman pakai Ini. Pake tiap hari, pagi dan malam hari sebelum tidur. Buat kalian yang masih ragu, aku saranin cepetan pake ini sekarang. Harganya juga terjangkau"
Syintiarachma_,"Bagus banget melembabkan dan menghilangkan kemerahan di wajah aman banget untuk kulit sensitif. Biasanya aku pake di pagi dan malam hari sihh. Buat kalian yang masih ragu, gk usah ragu lagi dehh langsung coba ajaa karena ini produk beneran sebagus ituu huhu"
jejuyaa_,Teksturnya ringan banget pertamakali cobain kaya air gel gitu terus calmingnya oke sih so far nyaman tapi begitu mau abis agak gatal mungkin aku ga bener ya naronya buat oily skin ini juga aman banget nyobain pas jaman viral dulu hehe harganya lumayan tapi sekarang udah oke
merlinnandiani,"Melembabkan, kalo breakout cepat meredanyaKulitku jadi lebih terhidrasi dan tidak keringProductnya banyak jadi lama abisnya bisa dipakai berbulan bulan pokoknya worth it banget buat kulit yang gampang breakout"
